0	18688
1	18434
2	17835
3	18441
4	17930
5	17932
6	17936
7	18451
8	17941
9	17945
10	17946
11	18459
12	17951
13	18469
14	17961
15	18474
16	18475
17	18476
18	17965
19	17970
20	17974
21	17975
22	18442
23	18494
24	18495
25	18500
26	18497
27	17988
28	18502
29	18018
30	18000
31	18517
32	18006
33	18521
34	18010
35	18013
36	18017
37	18530
38	18021
39	18023
40	18550
41	18042
42	18045
43	18047
44	18051
45	18564
46	17544
47	18058
48	17551
49	17552
50	18577
51	18069
52	18582
53	18584
54	18073
55	17562
56	18077
57	18592
58	18081
59	17570
60	18595
61	17575
62	18600
63	18089
64	18609
65	18611
66	18487
67	18106
68	18114
69	18116
70	17607
71	18632
72	18658
73	18638
74	17616
75	18645
76	18137
77	17626
78	17627
79	17634
80	18144
81	18657
82	18146
83	18661
84	17638
85	17641
86	18154
87	17909
88	17644
89	17645
90	17789
91	18672
92	17649
93	18674
94	18163
95	17653
96	17655
97	18168
98	18169
99	18682
100	17659
101	18684
102	18685
103	18175
104	18176
105	17669
106	18694
107	17793
108	17672
109	18699
110	17680
111	17681
112	17774
113	17689
114	18205
115	18721
116	18723
117	17700
118	18729
119	18730
120	18221
121	17711
122	18224
123	18226
124	17718
125	17720
126	17721
127	18234
128	18747
129	17725
130	18750
131	17729
132	18251
133	18252
134	17741
135	18257
136	17748
137	17754
138	18746
139	17759
140	18273
141	17767
142	17845
143	18407
144	18284
145	18286
146	17778
147	18291
148	18238
149	17783
150	18297
151	18570
152	18301
153	17791
154	18305
155	17794
156	17795
157	18308
158	18314
159	17803
160	18324
161	18325
162	17817
163	18334
164	17823
165	18336
166	18337
167	17540
168	17831
169	18347
170	17650
171	17839
172	17840
173	17841
174	17822
175	17847
176	18360
177	18666
178	18363
179	17855
180	18369
181	17740
182	17866
183	17868
184	18082
185	18384
186	18394
187	17883
188	18400
189	17894
190	17895
191	18410
192	18411
193	17901
194	17902
195	18417
196	18420
197	18430
198	18425
199	17918
200	8278
201	10246
202	12295
203	9736
204	12298
205	12299
206	10765
207	9746
208	9748
209	9749
210	10270
211	8223
212	10274
213	11811
214	11816
215	8745
216	10285
217	12334
218	11823
219	9264
220	11870
221	10807
222	11188
223	10304
224	9796
225	8261
226	8774
227	8545
228	12362
229	12363
230	9293
231	8272
232	9299
233	12329
234	11862
235	11023
236	10845
237	8798
238	8800
239	10338
240	10339
241	9317
242	10343
243	11538
244	9149
245	9331
246	9844
247	12405
248	10359
249	9850
250	12411
251	9852
252	11905
253	9347
254	10884
255	12421
256	8840
257	10643
258	9357
259	8334
260	9876
